number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_lambda_diff,params_lr,params_num_gru_layers,state
0,0.31592378213005784,2026-06-14 13:05:31.757436,2026-06-14 13:11:04.132544,0 days 00:05:32.375108,0.4597827975600971,256,1.4914321816411276,0.00019241098752881435,2,COMPLETE
1,0.3087647000763169,2026-06-14 13:11:04.139230,2026-06-14 13:16:34.784416,0 days 00:05:30.645186,0.4030991849201484,64,0.05594596983686562,0.0016172065994708325,2,COMPLETE
2,0.3106543876669641,2026-06-14 13:16:34.787169,2026-06-14 13:22:03.415999,0 days 00:05:28.628830,0.2611898705945437,256,1.4441328132324829,0.0009550211690777344,1,COMPLETE
3,0.3130090501294982,2026-06-14 13:22:03.418430,2026-06-14 13:27:20.995696,0 days 00:05:17.577266,0.3544076708508329,128,0.8556545736901155,0.000511163303349353,1,COMPLETE
4,0.3100399221970937,2026-06-14 13:27:20.997840,2026-06-14 13:32:39.440356,0 days 00:05:18.442516,0.55204966747241,128,0.32102837389004724,0.0009482617986248619,3,COMPLETE
5,0.3096311371071474,2026-06-14 13:32:39.445018,2026-06-14 13:37:57.618179,0 days 00:05:18.173161,0.4824952625584647,64,0.9443397573455687,0.0022791294505112277,2,COMPLETE
